coord_lat,coord_lon,temp,feels_like,temp_min,temp_max,humidity,wind_speed,wind_deg,clouds_all,rain_1h
36,140,285.41,283.58,284.89,286.29,34,1.68,16,37,
36,140,280.01,278.15,277.29,281.03,40,2.64,26,91,
36,140,277.83,274.49,275.29,279.23,42,4.22,39,95,
36,140,278.62,275.13,277.6,279.34,47,4.89,8,100,
36,140,280.93,278.37,279.85,282.18,48,4.1,35,100,
36,140,278.92,277.66,276.34,280.51,54,1.77,336,5,
36,140,277.37,276,270.29,277.56,37,1.66,317,3,
36,140,278.48,276.76,277.56,282.14,32,2.14,279,0,
36,140,287.59,285.56,286.03,287.62,18,1.64,197,8,
36,140,282.38,281.33,279.85,284.79,43,2.14,29,0,
36,140,278.95,278.95,271.29,281.45,55,0.77,59,43,
36,140,281.65,280.95,280.29,283.11,43,1.63,45,100,
36,140,283.58,281.83,282.34,284.27,44,2.56,70,100,
36,140,276.49,272.55,273.29,278.12,47,4.74,3,3,
36,140,276.16,276.16,272.34,277.56,49,0.94,346,0,
36,140,278.81,277.5,278.11,279.83,39,1.8,225,0,
36,140,285.08,283.5,282.29,285.9,45,6.24,179,2,
36,140,282.79,281.41,279.34,283.16,45,2.7,250,100,
36,140,278.32,278.32,272.29,284.34,42,1.1,274,18,
36,140,282.31,281.38,281.34,282.6,39,1.98,333,6,
36,140,284.36,282.08,282.6,284.82,21,6.6,320,19,
36,140,278.07,272.1,275.29,279.79,30,12.16,334,0,
36,140,275.76,270.67,273.67,277.56,34,6.8,322,0,
36,140,277.3,273.36,276.25,279.8,48,5.14,280,20,
36,140,280.16,275.79,277.29,281.58,27,8.51,309,21,
36,140,278.12,278.12,272.29,279.79,33,0.63,218,0,
36,140,277.24,274.46,275.34,278.16,42,3.14,305,0,
36,140,279.82,278.43,278.29,281.34,37,2.04,305,1,
36,140,285.81,283.84,283.11,285.96,27,1.31,200,0,
36,140,281.59,281.15,274.29,284.23,44,1.39,12,100,
36,140,277.8,276.15,275.29,279.27,35,1.96,342,79,
36,140,282.38,281.52,280.96,284.83,27,1.91,287,22,
36,140,287.21,285.12,285.38,288.74,17,0.59,162,70,
36,140,283.42,281.21,280.96,285.9,27,2,349,100,
36,140,281.64,281.09,279.29,283.12,41,1.49,344,99,
36,140,284.36,282.97,283.34,286.07,55,2.28,54,100,
36,140,287.05,285.54,284.29,287.59,40,3.08,78,100,
36,140,281.48,279.11,280.96,282.6,47,3.98,50,100,
36,140,280.13,278.02,278.29,280.51,46,3.02,31,100,
36,140,280.89,278.74,278.74,282.34,51,3.33,26,100,
36,140,280.65,278.31,278.81,282.18,67,3.57,57,100,0.19
36,140,279.15,276.7,277.07,280.51,80,3.23,6,100,0.11
36,140,278.57,275.33,277.07,279.79,89,4.36,349,100,0.42
36,140,280.01,279.19,278.74,287.34,98,1.52,30,100,0.99
36,140,283.68,282.93,282.34,284.4,82,6.98,289,100,
36,140,283.79,282.69,283.15,285.47,68,8.37,11,7,
36,140,280.8,277.93,280.29,282.05,68,4.71,29,44,
36,140,284.22,283.31,283.74,285.44,74,2.91,26,100,
36,140,287.03,286.09,285.96,287.34,62,3.09,90,75,
